id,balance,limit
31-811-2364,47648.68,50000
87-945-6646,35090.15,50000
76-404-0216,23809.77,50000
36-628-1621,25513.7,50000
01-024-5838,33980.8,50000
96-390-2167,5669.79,50000
06-886-1201,33451.51,50000
63-055-2298,4727.16,50000
15-227-1055,37914.94,50000
40-457-4557,32426.36,50000
04-552-5735,36030.31,50000
52-527-6286,24296.61,50000
55-455-4891,40536.45,50000
10-801-8629,42877.76,50000
77-416-3828,23166.77,50000
72-334-4163,12881.34,50000
09-317-5830,4818.95,50000
07-232-4682,40975.09,50000
20-318-4327,24731.72,50000
35-724-5115,2086.1,50000
66-666-1923,16766.13,50000
82-010-9116,47686.7,50000
95-545-8322,32726.02,50000
92-739-7131,42432.57,50000
03-601-1084,17708.99,50000
05-025-5414,38352.98,50000
83-806-0657,42095.97,50000
69-092-1023,9937.69,50000
09-849-9765,45955.66,50000
85-507-1990,36929.36,50000
38-082-3222,28533.27,50000
48-856-9302,27720.95,50000
65-428-1901,5705.81,50000
59-919-3170,43984.89,50000
72-345-4188,18133,50000
74-329-4756,30927.36,50000
57-532-6631,49949.57,50000
38-469-7311,49647.29,50000
06-997-5070,27893.41,50000
01-292-0950,42635.42,50000
79-139-5340,7906.5,50000
39-251-4515,38055.22,50000
31-388-6556,5122.76,50000
39-714-1895,5773.09,50000
59-680-5713,21768.96,50000
41-953-8290,43479.18,50000
72-179-9105,47209.51,50000
33-015-7261,6329.87,50000
18-067-4293,47517.26,50000
72-119-7009,84.25,50000
13-901-7400,13378.05,50000
64-650-3775,28306.54,50000
38-561-6075,25424.84,50000
24-885-3042,27628.46,50000
73-469-6501,2870.65,50000
17-932-0815,5260.9,50000
27-778-2870,29887.53,50000
96-573-3029,434.76,50000
19-542-0792,20895.55,50000
77-429-0598,27103.39,50000
14-191-6124,16513.41,50000
32-619-9730,49096.42,50000
09-394-5516,13984.22,50000
05-936-9888,14534.07,50000
16-687-4125,23939.78,50000
35-646-5498,45730.96,50000
61-323-5894,18696.3,50000
80-722-7813,28475.99,50000
98-892-1084,9009.2,50000
82-257-9688,31836.42,50000
53-277-2334,36987.81,50000
74-780-1300,1292.75,50000
55-409-3160,34691.97,50000
68-090-3312,44515.87,50000
29-513-5764,39099.67,50000
04-618-7484,33456.01,50000
24-257-5408,47189.52,50000
78-136-9072,36371.19,50000
18-204-9046,1700.18,50000
04-594-0791,44766.36,50000
51-303-5997,9262.6,50000
80-359-6817,37215.35,50000
02-341-7233,23244.34,50000
83-776-5767,36248.03,50000
62-918-1454,32993.15,50000
70-453-3837,19966.3,50000
54-499-3640,34290.23,50000
52-660-9293,20964.96,50000
56-002-1906,43021.32,50000
75-133-2701,47943.67,50000
22-926-4697,44892.26,50000
62-948-5801,43106.58,50000
26-807-4359,8314.42,50000
50-088-5459,22658.29,50000
91-222-0041,49950.34,50000
17-387-5680,35318.68,50000
82-336-0714,31727.62,50000
18-208-0450,10372.2,50000
63-881-4346,21328.16,50000
54-205-0354,43872.93,50000
08-660-9161,1687.25,50000
59-019-6129,25939.55,50000
14-414-4627,17777.39,50000
34-891-4493,48462.16,50000
72-782-0849,29426.94,50000
10-367-7010,15522.53,50000
46-075-8729,3103.94,50000
91-940-3914,2633.37,50000
65-221-4072,44417.88,50000
79-049-2254,17794.3,50000
64-832-6419,505.52,50000
13-951-3637,47865.8,50000
20-970-6791,49351.43,50000
35-145-3515,40576.57,50000
56-785-3025,10293.79,50000
78-783-3166,1136.44,50000
64-467-3765,18879.18,50000
97-598-0860,31943.55,50000
21-727-4041,39758.89,50000
06-575-0452,1735.4,50000
28-992-6194,47443.15,50000
61-379-7007,32175.24,50000
46-740-4706,23802.54,50000
94-716-1176,47254.25,50000
60-015-1462,1490.2,50000
10-915-3163,43021.41,50000
52-599-7210,47228.07,50000
53-422-5294,29091.66,50000
09-598-6517,47680.4,50000
10-222-5860,14982.74,50000
69-469-7798,5627.34,50000
01-197-1801,28974.96,50000
19-750-1240,163.94,50000
06-974-1903,28949.32,50000
18-725-7441,6877.63,50000
27-264-4857,22580.95,50000
76-169-9220,46884.67,50000
61-115-1752,24299.51,50000
67-285-9925,37179.73,50000
90-728-5482,26344.64,50000
62-950-6839,8513.42,50000
22-138-0214,3908.49,50000
75-763-7287,14745.85,50000
89-130-5163,33799.04,50000
25-428-7640,42419,50000
14-661-1577,32397.38,50000
78-536-1691,1505.11,50000
82-429-3195,4124.73,50000
99-961-4578,103.73,50000
79-073-3288,11682.33,50000
78-837-5908,44573.31,50000
02-532-6871,26171.78,50000
94-276-4868,33960.91,50000
70-759-2388,40229.22,50000
69-635-3620,15662.23,50000
40-169-5715,24110.99,50000
48-833-8079,18062.16,50000
13-655-7556,39250.16,50000
32-998-6238,46520,50000
49-790-6670,24161.56,50000
87-621-5210,13648.78,50000
87-431-9955,9990.02,50000
03-041-8072,32656.69,50000
63-229-0878,49814.92,50000
31-388-4882,21933.54,50000
09-023-0113,1535.2,50000
84-484-2527,10357.47,50000
65-377-0418,46654.72,50000
05-462-3468,37019.63,50000
88-505-5702,1987.85,50000
35-330-5985,932.78,50000
97-633-8240,25893.63,50000
15-439-7065,17323.63,50000
67-250-6969,25533.2,50000
97-947-7116,25967.72,50000
14-897-1352,17363.67,50000
54-512-2999,28773.14,50000
07-618-7238,44038.53,50000
82-520-4178,35499.75,50000
74-782-7856,32489.78,50000
72-019-9586,48489.12,50000
02-366-6185,23913.87,50000
04-110-7571,22693.26,50000
05-088-3808,26092.62,50000
36-809-3014,34995.99,50000
92-444-2517,15151.8,50000
56-817-5402,17043.99,50000
06-493-6060,32023.21,50000
06-398-8360,7530.34,50000
44-200-1535,2113.29,50000
63-670-8984,16405.2,50000
57-704-2345,31760.14,50000
29-943-9609,35254.8,50000
86-431-6586,37365,50000
14-966-7558,38440.31,50000
94-191-6086,34886.78,50000
21-959-1385,27297.71,50000
33-121-4584,13421.64,50000
56-382-2320,38657.88,50000
80-764-2153,5097.38,50000
69-696-3256,2740.04,50000
67-666-2489,26459.96,50000
04-688-4916,9999.23,50000
96-200-3738,27838.66,50000
84-112-0277,10265.62,50000
87-804-1175,319.54,50000
66-260-3979,46212.09,50000
09-116-2335,18351.81,50000
32-284-8357,10602.56,50000
67-597-9797,30263.35,50000
51-736-7339,16986.51,50000
06-377-1367,35098.99,50000
08-071-5974,15241.16,50000
76-247-1712,8517.71,50000
58-663-3155,32119.32,50000
98-492-5950,45851.76,50000
80-845-1684,24758.39,50000
03-112-5438,32982.69,50000
50-031-1974,13348.54,50000
54-356-9410,3823.42,50000
50-381-9214,33437.24,50000
94-006-3912,38545.85,50000
46-934-3474,6001.88,50000
40-323-9279,23678.73,50000
03-161-7912,14803.59,50000
03-582-3549,41054.22,50000
14-680-3016,40972.56,50000
24-074-4893,11905.85,50000
81-970-4860,36384.69,50000
42-906-8395,25811.88,50000
51-093-2423,25213.23,50000
46-205-3618,40969.64,50000
80-154-4883,1464.06,50000
34-596-5693,38530.51,50000
03-565-6882,14890.13,50000
91-831-0810,32134.15,50000
74-712-6858,15280.55,50000
29-747-2668,20461.23,50000
76-380-2271,15031.24,50000
24-857-2743,40108.99,50000
12-642-1205,39151.22,50000
87-601-1329,14005.31,50000
01-339-7887,20844.04,50000
79-751-9333,9320.61,50000
41-207-1773,37982.51,50000
94-001-0145,9104.16,50000
71-134-7814,22759.19,50000
77-481-8306,30152.21,50000
20-626-3491,46749.63,50000
97-239-9368,34678.05,50000
33-324-9845,6531.84,50000
34-587-0602,19619.16,50000
71-875-4438,30167.4,50000
37-650-9279,8620.64,50000
58-695-7126,28789.21,50000
66-429-4741,34392.69,50000
14-452-5224,18279.05,50000
32-782-7571,39143.01,50000
36-398-8014,46908.82,50000
63-680-9583,45821.35,50000
10-063-6729,21512.8,50000
55-117-1506,30914.16,50000
71-289-0726,13050.15,50000
74-978-7211,6810.79,50000
60-793-7043,36989.25,50000
36-855-4921,28667.88,50000
33-737-5520,7656.03,50000
08-162-4435,33084.09,50000
85-501-2887,42271.19,50000
46-873-6832,43460.86,50000
26-298-1524,24648.98,50000
19-732-7940,21552.81,50000
71-918-7948,2710.06,50000
59-863-1834,30206.62,50000
10-337-5208,11117.11,50000
67-321-4508,46430.01,50000
42-349-0193,34586.99,50000
38-286-9619,21250.54,50000
80-535-1844,35699.97,50000
34-957-6398,9874.33,50000
33-834-9654,25345.31,50000
22-283-9856,35496.15,50000
77-906-1126,49885.16,50000
66-714-5279,4957.81,50000
08-622-4710,7460.05,50000
75-497-3120,47483.19,50000
03-737-8707,18292.67,50000
19-567-5872,42774.17,50000
27-268-1022,29367.93,50000
55-375-5698,8778.5,50000
14-482-9531,46577.53,50000
34-281-4095,4672.72,50000
39-926-4137,29610.66,50000
39-853-7398,24253.85,50000
30-742-5396,40139.32,50000
87-281-2675,41483.21,50000
16-137-0883,30308.01,50000
90-743-5799,15610.36,50000
09-037-5619,8923.75,50000
44-111-9215,5635.38,50000
60-125-2882,14506.36,50000
18-194-2693,20453.95,50000
04-281-7435,2701.66,50000
87-217-6592,28774.79,50000
31-726-8025,8497.89,50000
28-016-5201,37205.18,50000
48-135-7210,31648.65,50000
00-835-0387,14465.73,50000
08-241-2353,18796.37,50000
31-874-8940,48857.54,50000
77-695-0015,36226.8,50000
40-560-5574,44807.43,50000
24-086-1026,2837.96,50000
30-367-7205,41269.52,50000
82-075-1258,30002.65,50000
98-371-0995,15767.38,50000
67-739-5373,33550.14,50000
10-763-1788,10332.91,50000
01-640-6636,45116.97,50000
76-173-7596,39626.5,50000
08-742-0831,36756.04,50000
90-103-0191,20203.77,50000
66-418-1582,27237.37,50000
23-052-9950,48343.12,50000
99-857-1429,21642.16,50000
93-099-8778,8843.24,50000
60-351-6241,1124.36,50000
70-195-1057,49289.88,50000
76-860-9736,13522.84,50000
89-865-2641,8015.21,50000
99-140-8425,9318.73,50000
40-948-3674,41352.37,50000
95-890-3863,45058.57,50000
48-499-6223,15743.11,50000
59-678-0947,44051.4,50000
86-090-3905,22423.14,50000
25-409-0607,16515.08,50000
45-433-1255,41998.31,50000
09-396-1007,7351.14,50000
68-587-5746,49707.37,50000
81-668-8917,13485.23,50000
08-678-1485,30956.84,50000
14-482-8886,27935.53,50000
62-519-6465,37591.92,50000
86-594-1267,27925.02,50000
17-439-7521,40040.28,50000
42-021-7282,33911.95,50000
35-469-0731,7294.64,50000
40-386-3199,13368.76,50000
43-399-5019,29648.8,50000
60-864-6531,11391.77,50000
60-714-1395,5568.61,50000
41-423-9915,38502.61,50000
89-992-7533,13619.29,50000
30-608-6200,13138.92,50000
84-031-8172,49209.91,50000
70-183-7498,13576.97,50000
76-622-2632,19658.88,50000
42-287-8243,16722.29,50000
01-721-3946,22244.48,50000
89-221-4128,40321.12,50000
00-774-2308,9425.75,50000
85-892-2266,24725.26,50000
45-344-1002,22946.29,50000
89-378-6465,2447.38,50000
50-323-4190,32175.51,50000
40-384-8836,47175.27,50000
19-724-0959,3155.27,50000
23-896-1810,5151.31,50000
99-377-9116,45640.64,50000
70-888-2099,38850.46,50000
43-262-2963,14558.87,50000
12-941-6075,21541.93,50000
21-703-3646,24255.92,50000
30-022-3518,26738.12,50000
97-112-5466,10389.4,50000
11-538-9801,48245.57,50000
61-145-4666,29069.23,50000
92-139-2509,37321.34,50000
75-345-8454,5671.27,50000
76-264-1179,8628.73,50000
10-957-9919,24606.98,50000
57-540-8432,14487.78,50000
47-561-8070,4632.39,50000
11-103-4780,37070.42,50000
79-332-0591,3551.05,50000
04-589-2454,45651.19,50000
44-743-8610,20374.11,50000
34-008-7976,42927.54,50000
97-840-8700,33298.84,50000
67-249-0005,12075.33,50000
20-680-6019,11319.6,50000
32-922-7057,4505.84,50000
24-708-2573,8311.39,50000
51-335-9870,40032.81,50000
24-964-5436,10746.32,50000
98-238-0254,21475.39,50000
97-192-0622,6139.05,50000
99-439-6918,41151.56,50000
63-655-2908,22721.35,50000
67-373-1931,42053.87,50000
70-146-8989,18033.03,50000
29-683-3609,44976.85,50000
64-208-9746,4700.94,50000
83-056-9703,18192.3,50000
18-130-5125,2788.27,50000
00-935-3252,22165.47,50000
81-021-3565,25434.44,50000
82-049-4778,38117.01,50000
07-013-1629,38621.92,50000
60-736-9620,49872.31,50000
56-117-7038,17648.75,50000
84-506-4629,4901.94,50000
03-174-5375,16239.85,50000
55-061-1759,2836.07,50000
87-345-8440,10560.68,50000
09-599-2302,33178.95,50000
77-963-9087,38008.21,50000
73-412-8116,31531.54,50000
92-614-1751,1293.22,50000
48-084-7407,12975.72,50000
25-092-7892,21251.47,50000
65-995-8913,32006.22,50000
11-066-8668,11217.5,50000
42-270-1428,28071.07,50000
14-937-2388,13286.13,50000
85-217-2604,10381.67,50000
95-744-2161,10541.98,50000
66-972-6986,9730.8,50000
31-795-8591,14892.54,50000
79-710-3341,6578.52,50000
57-621-6849,38695.73,50000
79-636-8660,4858.5,50000
35-730-2481,26164.4,50000
19-945-6384,25090.92,50000
46-284-1189,35929.58,50000
34-391-8192,33398.91,50000
92-070-2698,16948.62,50000
94-339-1078,5207.08,50000
36-317-5592,45991.8,50000
69-201-9004,13840.23,50000
48-497-3044,24441.95,50000
90-340-2452,48583.73,50000
77-220-1512,19414.33,50000
09-616-4116,21104.03,50000
31-848-2700,4793.54,50000
99-029-2084,33615.34,50000
18-176-4726,13562.6,50000
70-584-3158,28612.1,50000
86-594-7917,14238.76,50000
49-459-7143,32089.06,50000
97-962-6906,1245.63,50000
96-234-9253,35476.86,50000
18-402-1448,11827.18,50000
41-584-6069,7343.18,50000
28-619-4857,5146.15,50000
08-841-3782,41534.86,50000
57-381-7382,24355.6,50000
66-780-4835,42069.15,50000
06-485-9384,27180.87,50000
92-330-1257,40350.01,50000
59-680-1324,11422.97,50000
13-419-1496,5503.19,50000
73-937-7782,5988.43,50000
83-204-2164,44959.15,50000
98-659-2200,23181.07,50000
88-805-1108,3780.24,50000
25-052-7338,13757.02,50000
96-390-1982,45489.32,50000
07-796-8300,9257.17,50000
79-961-5058,32676.08,50000
17-667-8487,28570.66,50000
78-204-8671,12370.03,50000
16-156-8351,48729.55,50000
53-028-8750,16453.18,50000
06-754-2362,16293.92,50000
13-365-0269,47578.02,50000
38-785-3672,45482.07,50000
95-361-0051,4703.82,50000
74-568-7229,16958.67,50000
37-780-0130,13115.43,50000
37-638-6452,37909.98,50000
16-929-7667,16909.17,50000
41-684-9943,17169.09,50000
07-183-7223,4380.43,50000
96-542-1751,43338,50000
03-510-5565,48264.74,50000
03-349-4299,47824.18,50000
62-566-0925,34552.3,50000
70-171-4738,4541.73,50000
82-955-5513,46307.45,50000
05-906-9526,29258.95,50000
31-582-8548,106.04,50000
91-887-6976,14094.17,50000
73-563-6954,29476.72,50000
49-780-0908,13333.66,50000
30-265-4872,47686.26,50000
11-445-8642,37073.33,50000
40-080-8946,36030.61,50000
52-444-9216,14294.56,50000
38-211-5988,30722.42,50000
39-563-7181,1843.53,50000
68-296-3651,33533.42,50000
72-555-9471,10217.78,50000
47-483-0281,45817.32,50000
49-984-1975,17538.22,50000
63-742-5649,41820.23,50000
51-164-1927,3763.65,50000
85-220-8403,39235.53,50000
19-436-5994,36540.04,50000
42-478-5614,11098.36,50000
96-329-2842,8001.6,50000
65-589-7182,2003.75,50000
98-673-9545,39189.72,50000
77-277-4593,14030.94,50000
60-528-4926,23667.87,50000
96-403-0197,13360.65,50000
99-992-8596,46827.15,50000
89-259-0565,30367.46,50000
21-239-3756,28085.97,50000
00-830-3648,43537.17,50000
13-489-7620,36578.11,50000
21-132-1114,14950.1,50000
28-009-3862,4580.41,50000
14-800-9393,11390.31,50000
57-008-8500,16087.73,50000
69-244-5151,1579.78,50000
96-896-1621,24938.55,50000
22-327-6534,27733,50000
43-584-9228,1255.25,50000
81-537-4364,19720.92,50000
44-903-0180,28164.11,50000
08-409-8957,25677.04,50000
27-087-7547,11833.12,50000
55-174-5404,11580.66,50000
42-952-5059,15902.74,50000
28-766-9911,34061.58,50000
46-461-7513,41660.43,50000
06-303-1976,44113.85,50000
43-309-9518,27417.54,50000
10-319-9158,14208.54,50000
98-677-2274,6374.38,50000
19-514-4664,31728.79,50000
58-081-1196,37733.9,50000
77-723-3178,32041.19,50000
09-593-7721,13848.84,50000
26-578-4376,13429.32,50000
18-393-8429,3725.03,50000
45-247-0122,36517.53,50000
04-936-0894,26241.25,50000
02-129-0083,25649.63,50000
65-925-6301,25784.17,50000
06-882-3905,796.51,50000
29-697-6484,35561.72,50000
09-671-6874,17740.85,50000
77-551-5157,4449.43,50000
38-975-8622,15985.97,50000
06-792-6679,13057.36,50000
48-751-3717,3108.41,50000
86-119-2933,44578.35,50000
44-167-7852,49318.21,50000
46-445-6403,43528.59,50000
50-136-0537,16653.48,50000
56-543-3003,26392.19,50000
23-774-5028,24077.63,50000
79-088-5089,33180.13,50000
68-098-8014,8046.47,50000
37-533-0283,20666.05,50000
46-491-0561,37588.63,50000
06-325-4720,322.26,50000
16-347-2545,29989.97,50000
25-989-8129,9410.86,50000
20-648-3314,33204.05,50000
37-836-5880,17409.38,50000
40-804-9180,22726.72,50000
86-508-2666,40184.64,50000
15-391-4823,32334,50000
04-994-1836,38571.97,50000
28-600-5748,3433.94,50000
05-839-7149,46460.27,50000
27-301-8421,5179.13,50000
79-362-8326,22516.26,50000
24-197-1853,38275.26,50000
61-405-4535,45923.51,50000
16-902-4815,44474.64,50000
37-070-3087,12269.61,50000
23-112-4206,26450.83,50000
27-882-1693,23394.78,50000
75-254-3045,40639.2,50000
38-076-7405,7417.75,50000
45-890-5212,43008.29,50000
28-685-4836,1335.65,50000
35-961-2053,2350.56,50000
33-401-5711,31727.53,50000
42-893-5265,16658.95,50000
02-471-8264,9139.15,50000
16-358-4266,46920.3,50000
77-439-6741,42582.84,50000
21-472-0998,21089.65,50000
47-611-9873,45990.88,50000
66-764-2983,38464.56,50000
04-849-1818,33718.17,50000
75-098-0843,14035.81,50000
58-520-1848,22304.47,50000
15-762-4363,45571.62,50000
42-023-9819,14235.29,50000
46-829-3871,39293.57,50000
96-847-4348,8063.24,50000
01-326-1563,10746.15,50000
20-747-2999,37906.19,50000
70-257-5442,49445.96,50000
96-466-3214,5268.2,50000
50-620-0986,4497.77,50000
02-228-5517,30678.46,50000
34-295-1845,45626.3,50000
78-195-2951,37363.29,50000
67-117-4493,22608.38,50000
58-193-3638,3749.21,50000
96-704-5292,39691.4,50000
31-696-7100,3696.55,50000
12-141-2454,28012.16,50000
68-410-8562,27895.89,50000
40-927-9289,37931.67,50000
59-728-8011,19401.94,50000
42-066-0860,39738.61,50000
11-749-8367,21573.72,50000
32-230-4540,43224.13,50000
18-310-4792,27508.08,50000
07-375-7855,43552.36,50000
88-922-7992,19422.38,50000
69-432-4637,30346.43,50000
91-626-4715,6160.9,50000
29-397-7970,29348.46,50000
39-859-1214,41798.19,50000
44-872-1622,29643.36,50000
78-266-0537,13703.48,50000
86-421-1342,16058.77,50000
45-888-4082,47185.11,50000
50-067-3864,43616.36,50000
58-032-1099,5780.49,50000
96-301-9955,10045.08,50000
77-810-9858,34221.43,50000
72-081-2639,20413.31,50000
59-342-3734,1635.15,50000
64-886-8376,39403.15,50000
70-280-3018,20217.08,50000
98-917-6503,233.17,50000
13-547-5002,17841.58,50000
75-811-1344,30569.02,50000
73-278-4222,43910.92,50000
69-676-4518,17228.19,50000
57-531-0486,22455.68,50000
99-849-4094,15239.86,50000
49-176-3860,3572.67,50000
38-711-8901,36142.45,50000
91-090-5667,29024.94,50000
42-766-0250,31157.14,50000
65-393-6794,9991.99,50000
01-485-8535,40438.12,50000
53-927-9443,32170.23,50000
60-235-4862,35281.85,50000
24-958-7889,21419.94,50000
34-228-9561,25996.52,50000
81-371-7405,28620.86,50000
15-054-8440,10111.1,50000
86-186-1013,42678.01,50000
25-009-3604,3666.93,50000
18-115-8754,14222.63,50000
36-781-5775,47068.44,50000
44-400-3611,29150.03,50000
51-858-0253,34785.88,50000
85-240-9173,29302.6,50000
82-106-7955,26144.26,50000
51-730-8281,9990.63,50000
